Period,Portland Cement Price,Gross Domestic Product (GDP),Gross National Income,Money Supply (M3),Producer Price Index (PPI) - Manufacturing,US Dollar Exchange Rate,Lending/Interest Rate,Unemployment Rate,Consumer Price Index (CPI),Inflation Rate,Exports
"Year, Quarter",PhP,In million Philippine Pesos,In million Philippine Pesos,M PHP million,Index,1 USD to PHP,%,%,2018=100,%,M USD Thousand
2013Q2,220.56,3386829,3760649,5.75,152.3,43.307,5.5,7.55,2.5,2.4,4.49
2013Q3,218,3178884,3592646,6.25,151.1,43.309,5.5,7.29,2.3,2.3,5.06
2013Q4,218,3559155,3980659,6.93,152.4,44.414,5.5,6.4,3.8,3.8,4.96
2014Q1,218,3308136,3724410,7.03,152.8,44.996,5.5,7.54,3.5,3.4,5.27
2014Q2,230,3621756,4031459,7.1,149.9,43.78,5.75,7.03,3.8,3.8,5.46
2014Q3,230,3367553,3772367,7.2,149.3,44.966,6,6.74,3.9,4.2,5.85
2014Q4,220,3798601,4229848,7.59,150.6,44.617,6,6.01,1.9,1.9,4.8
2015Q1,230,3481796,3908656,7.69,144.6,44.796,6,6.57,1.5,1.5,5.43
2015Q2,230,3853504,4268765,7.74,140.4,45.2,6,6.41,0.6,0.6,5.36
2015Q3,226.67,3589388,4005400,7.83,139.7,46.926,6,6.5,-0.4,-0.14,4.96
2015Q4,226.67,4066219,4539472,8.34,139.2,47.166,6,5.62,0.7,0.7,4.66
2016Q1,228.89,3722688,4184716,8.54,134.4,46.108,6,5.69,0.6,0.6,4.73
2016Q2,228.33,4140186,4577696,8.72,135.2,46.96,3.5,6.06,1.3,1.3,4.87
2016Q3,228.33,3852483,4285928,8.84,133.1,48.257,3.5,5.39,1.7,1.7,5.36
2016Q4,230.5,4347319,4814339,9.47,133.3,49.813,3.5,4.66,2.2,2.2,4.97
2017Q1,230.5,3959977,4448021,9.5,133.9,50.194,3.5,6.56,3.1,3.1,6
2017Q2,228,4437331,4905551,9.88,132.6,50.466,3.5,5.72,2.5,2.5,5.7
2017Q3,223.5,4142636,4615081,10.1,132.4,51.073,3.5,5.58,3,3.1,5.99
2017Q4,226.29,4636033,5115571,10.6,131.9,49.923,3.5,5,2.9,2.9,5.38
2018Q1,223.14,4215576,4714996,10.9,98.49,52.207,3.5,5.26,4.3,4.3,6.02
2018Q2,230,4720384,5184273,11.1,100.15,53.522,4,5.46,5,5.2,5.92
2018Q3,230,4397241,4895181,11.2,101.55,54.251,5,5.42,6.9,6.7,6.05
2018Q4,280,4931988,5417900,11.6,100.39,52.724,5.25,5.06,5.2,5.1,4.73
2019Q1,232.5,4463186,4970453,11.6,99.68,52.782,5.25,5.29,3.4,3.3,6.03
2019Q2,232.5,4985924,5454067,11.8,97.41,51.358,5,5.15,2.7,2.7,6.15
2019Q3,230,4675544,5154920,12,97.29,52.042,4.5,5.42,0.5,0.9,6.08
2019Q4,234.78,5258096,5719592,13,96.29,50.744,4.5,4.59,2.4,2.5,5.75
2020Q1,226.75,4433805,4891123,13.1,93.84,51.044,3.75,5.32,2.2,2.2,5.08
2020Q2,226.75,4142943,4494330,13.6,92.21,49.851,2.75,17.6,2.3,2.3,5.53
2020Q3,225,4135499,4451928,13.5,92.2,48.465,2.75,9.96,2.2,2.2,6.29
2020Q4,232.5,4825596,5020635,14.2,92.68,48.036,2.5,8.73,3.3,3.3,5.85
2021Q1,232.5,4266797,4378329,14.2,90.77,48.466,2.5,8.77,4.1,4.1,6.78
2021Q2,232.5,4641825,4797683,14.4,90.91,48.544,2.5,8.73,3.7,3.7,6.58
2021Q3,227.97,4426630,4576678,14.6,92.29,50.959,2.5,7.19,4.2,4.2,6.69
2021Q4,220,5204832,5426715,15.3,93.01,50.774,2.5,7.4,3.1,3.1,6.28
2022Q1,223.22,4611219,4836290,15.2,95.66,51.96,2.5,6.39,4,4,7.31
2022Q2,223.67,4990934,5249158,15.4,98.01,55.021,3,5.71,6.1,6.1,6.74
2022Q3,223.89,4767549,5058431,15.4,99.37,58.91,4.75,5.21,6.9,6.9,7.25
2022Q4,224.44,5575902,5931836,16.3,98.08,56.12,6,4.54,8.1,8.1,5.81
2023Q1,247.83,4907643,5317021,16.3,98.45,54.429,6.75,4.78,7.6,7.6,6.61
2023Q2,248.33,5205820,5698923,16.4,98.49,55.362,6.75,4.48,5.4,5.4,6.73
2023Q3,250,5053783,5672117,16.7,99.12,56.961,6.75,4.85,6.1,6.1,6.77
2023Q4,249.78,5884513,6590167,17.4,98.71,55.567,7,4.19,3.9,3.9,5.78
2024Q1,251.44,5190210,5835533,17.2,97.26,56.281,7,4.47,3.7,3.7,6.22
2024Q2,251.44,5533272,6148329,17.5,98.28,58.868,7,4.05,3.7,3.7,5.57
2024Q3,250.22,5317540,6055035,17.6,97.75,55.892,6.5,4.74,1.9,1.9,6.26
2024Q4,,5884513,6590167,17.4,98.71,55.567,7,4.19,3.9,3.9,5.78
2025Q1,,5190210,5835533,17.2,97.26,56.281,7,4.47,3.7,3.7,6.22
2025Q2,,5533272,6148329,17.5,98.28,58.868,7,4.05,3.7,3.7,5.57
2025Q3,,5317540,6055035,17.6,97.75,55.892,6.5,4.74,1.9,1.9,6.26
